iter	RMSE
335	0.1190054769
336	0.1189149655
337	0.1189131537
338	0.1188258816
339	0.1187983669
340	0.1187686916
341	0.1186860497
342	0.1185658496
343	0.1185289827
344	0.1185196058
345	0.1185181376
346	0.1184862839
347	0.11844484
348	0.1183660682
349	0.1183573168
350	0.1183381182
351	0.1183083553
352	0.1182491019
353	0.1182291532
354	0.1181692581
355	0.118154014
356	0.1180421953
357	0.118020496
358	0.117999602
359	0.1179018259
360	0.1178685959
361	0.1178138046
362	0.1177783515
363	0.117748232
364	0.1177050425
365	0.117594021
366	0.117569606
367	0.1175559495
368	0.1175501113
369	0.1175215369
370	0.1175083237
371	0.1174434732
372	0.117429596
373	0.117329838
374	0.1172373606
375	0.1171643878
376	0.1171370996
377	0.1171282547
378	0.1170573572
379	0.117021719
380	0.1169625507
381	0.1169175386
382	0.1168682928
383	0.1167804601
384	0.1167498609
385	0.1166682463
386	0.1166419777
387	0.1166155001
388	0.1165271044
389	0.11644267
390	0.1164361329
391	0.1163825976
392	0.1163448506
393	0.1163434305
394	0.1163195086
395	0.1162780889
396	0.116234965
397	0.1161937985
398	0.116118351
399	0.1161054858
400	0.1160860518
401	0.1160325084
402	0.1160195911
403	0.1160070286
404	0.1159388892
405	0.1159234794
406	0.1159120135
407	0.1158499723
408	0.1158348068
409	0.115806944
410	0.1157821248
411	0.1157707701
412	0.1157143909
413	0.1156842784
414	0.1156675184
415	0.1156419412
416	0.1156378071
417	0.1156365952
418	0.1156256951
419	0.115578662
420	0.1155031167
421	0.1154725821
422	0.1154488984
423	0.1154231505
424	0.1154145712
425	0.1153819893
426	0.1153616086
427	0.1153407798
428	0.1153052056
429	0.1152561302
430	0.1152526006
431	0.1152296956
432	0.1152105616
433	0.1151987441
434	0.1151740823
435	0.1151533684
436	0.1150913517
437	0.1150439715
438	0.1150247095
439	0.1149978385
440	0.1149855301
441	0.1149160385
442	0.1149030713
443	0.1148765984
444	0.1148461276
445	0.1148249981
446	0.1148209608
447	0.1147870774
448	0.1147433607
449	0.1147312634
450	0.114717839
451	0.11470669
452	0.1146917165
453	0.1146597693
454	0.1145917241
455	0.1145833664
456	0.1145610368
457	0.1145311885
458	0.1144934257
459	0.1144770898
460	0.1144498398
461	0.1144378976
462	0.114413782
463	0.1144037935
464	0.114402979
465	0.1143918612
466	0.1143840249
467	0.1143380355
468	0.11431805
469	0.114299951
470	0.1142823389
471	0.1142721319
472	0.1142007636
473	0.1141848744
474	0.1141617383
475	0.1141584287
476	0.1141396063
477	0.1141183378
478	0.114107158
479	0.1140420345
480	0.1140259633
481	0.1140166097
482	0.1140108229
483	0.1140044147
484	0.1139665451
485	0.1139524345
486	0.1139219691
487	0.1139162309
488	0.1138859821
489	0.1138477668
490	0.1138137249
491	0.1137883253
492	0.1137812471
493	0.1137748569
494	0.1137717267
495	0.1137626758
496	0.1137375272
497	0.1137155218
498	0.1137149377
499	0.1137144707
